node	name
N53	dum|DT_1|107133309_107135144|DUP|Q|DUP131721|1836
N53	dum|DT_9|179268336_179270087|DUP|Q|DUP131723|1752
N176	dum|DT_1|118880969_118882529|DUP|Q|DUP121710|1561
N176	dum|DT_3|51015384_51016906|DUP|Q|DUP48848|1523
N176	dum|DT_6|182421228_182422753|DUP|Q|DUP121711|1526
N176	dum|DT_7|39538888_39540455|TRANS|Q|TRANS123019|1568
N176	dum|DT_X1|13216409_13217935|INVDP|Q|INVDP121712|1527
N176	dum|DT_X2|183788070_183789573|DUP|Q|DUP123018|1504
N219	dum|DT_1|122884142_122889181|DUP|Q|DUP82002|5040
N219	dum|DT_3|171913565_171918717|INVDP|Q|INVDP82010|5153
N219	dum|DT_3|171929483_171934636|INVDP|Q|INVDP82011|5154
N219	dum|DT_3|171945405_171950558|INVDP|Q|INVDP82012|5154
N219	dum|DT_X1|120538384_120543398|INVDP|Q|INVDP82003|5015
N254	dum|DT_1|1282583_1283689|INVDP|Q|INVDP55325|1107
N254	dum|DT_10|182112887_182113992|DUP|Q|DUP65567|1106
N254	dum|DT_2|290140303_290141408|DUP|Q|DUP65568|1106
N254	dum|DT_5|235973771_235974876|DUP|Q|DUP65569|1106
N254	dum|DT_6|229934742_229935848|DUP|Q|DUP65570|1107
N254	dum|DT_6|231960247_231961352|DUP|Q|DUP65571|1106
N254	dum|DT_7|2291457_2292562|INVDP|Q|INVDP65572|1106
N254	dum|DT_9|2113174_2114279|INVDP|Q|INVDP65573|1106
N254	dum|DT_9|4491872_4492977|INVDP|Q|INVDP65574|1106
N254	dum|DT_X1|261444699_261445804|DUP|Q|DUP65575|1106
N304	dum|DT_1|132854263_132863134|DUP|Q|DUP45282|8872
N304	dum|DT_1|132862463_132871338|DUP|Q|DUP45283|8876
N304	dum|DT_1|132870667_132879545|DUP|Q|DUP45284|8879
N304	dum|DT_1|132878874_132887748|DUP|Q|DUP45285|8875
N304	dum|DT_1|132887077_132895955|DUP|Q|DUP45286|8879
N304	dum|DT_1|132895284_132904158|DUP|Q|DUP45287|8875
N304	dum|DT_1|132903487_132912358|DUP|Q|DUP45288|8872
